Date,AAPL,GOOG,TSLA,KO,OXY,BAC
2022-06-22,-0.35555751237032107,-0.3572710673553154,-0.22136009014386804,-0.3134462149619626,-0.1511195226927284,-0.45939321855411125
2022-06-23,-0.28339197185191917,-0.29301351541453613,-0.19115982404963688,-0.21378653816478937,-0.11505716987727622,-0.41428001090714944
2022-06-24,-0.2842222191767207,-0.266889236317783,-0.2138587393488988,-0.22435103178023247,-0.09883527256273067,-0.4235945428865365
2022-06-27,-0.33230517274542093,-0.3177860160556681,-0.23578813744530494,-0.28651618174446797,-0.11318359550847787,-0.4629200586163274
2022-06-28,-0.35799576277080297,-0.34724736662706657,-0.25711641346375297,-0.3191733130628082,-0.10590443561659653,-0.47432804934616973
2022-06-29,-0.3236871074921965,-0.32227723650576334,-0.2503911616839675,-0.28415752822327994,-0.10813927886164762,-0.44463386070227495
2022-06-30,-0.29463920759578627,-0.3031644179297527,-0.237913428387139,-0.23343300777166898,-0.09354958792752323,-0.40420796120839847
2022-07-01,-0.27336025875334063,-0.29299048032339187,-0.2407284614748045,-0.15612024366798444,-0.060118369826648324,-0.35435123468096097
2022-07-05,-0.19403853778518046,-0.19333160089441637,-0.18611063633874608,-0.08317471510041587,-0.01574145612207404,-0.27990920070300607
2022-07-06,-0.18639238346683362,-0.1793449075970335,-0.17970066980851984,-0.10780518964726164,-0.02583059429837269,-0.29076725640823314
2022-07-07,-0.18095636265935408,-0.16125780619652397,-0.16823354905295615,-0.13737921885005364,-0.027652856146227395,-0.26904273825670827
2022-07-08,-0.1754017234845743,-0.1506445912599987,-0.1516540248105331,-0.14791665702792406,-0.0694448297635401,-0.2831820186797652
2022-07-11,-0.13114084862318584,-0.11246624967281285,-0.136223910814779,-0.08889016985091565,-0.02149762991885589,-0.24143565150036742
2022-07-12,-0.1398655185086736,-0.12002005865088626,-0.14505088405299887,-0.11481979540600655,-0.052324779931679936,-0.24278638430800994
2022-07-13,-0.1495910518468929,-0.14074986664595235,-0.15043839082793864,-0.1177600397963905,-0.04886493782522553,-0.24478671178249212
2022-07-14,-0.09742267210720877,-0.11102115444493246,-0.12535911617810663,-0.0927955063879282,-0.038026654898927606,-0.21372779822295482
2022-07-15,-0.07505971648194501,-0.09316955187556115,-0.12211005825044124,-0.055621877406182955,-0.031609458737875844,-0.15698350111942427
2022-07-18,-0.09234852922742025,-0.11677862422191555,-0.12728160348779408,-0.07188958645372455,-0.009999642332276761,-0.16621580805418948
2022-07-19,-0.10258397766059521,-0.10560364422520184,-0.11888404779835522,-0.11755493691427496,-0.01812894102751492,-0.173001199927133
2022-07-20,-0.07761119774361136,-0.07692697417153134,-0.120336720557645,-0.1159640926425556,0.014356627444969421,-0.1437233878931847
2022-07-21,-0.02648281002478981,-0.025280550414054175,-0.07075427356094313,-0.06442636329849816,0.04190994087301818,-0.08392493565265133
2022-07-22,-0.02531687002500975,-0.06902098265275661,-0.06212594140696088,-0.054443159611011434,0.05716328811861747,-0.07084073564548393
2022-07-25,-0.026958039714334685,-0.07156263896404308,-0.03626636680877047,-0.06402639785314962,0.06668894460705359,-0.07186603276817069
2022-07-26,-0.013583782114235086,-0.04706004284225134,-0.04102645752861172,-0.02603448381215504,0.05565192306024289,-0.061350974178499496
2022-07-27,0.0021652198648102207,-0.0022380237373642742,-0.00568259886605187,-0.0032151224156306436,0.06541633876472908,-0.03424586296063234
2022-07-28,0.047559636514517035,0.0424139728225137,0.014402823025331992,0.06782802011424997,0.09397658384523258,0.0042817055843011945
2022-07-29,0.10026759786459828,0.07276607070048076,0.03913662181063955,0.14370066333106424,0.11481970606373225,0.045178342124287764
2022-08-01,0.09113519813293089,0.06277482148985718,0.037443424873317865,0.1571161939325996,0.1044854224364376,0.02385019591661582
2022-08-02,0.01685277105432988,0.003799825289946699,0.0025729722764722845,0.043680658186909985,0.055339987402234656,-0.07475263149758717
2022-08-03,0.11433215657571597,0.07880436846068344,0.05888497280294437,0.10800451574307685,0.04056041361764224,-0.0001528692487999613
2022-08-04,0.14149122034845626,0.1131708508866882,0.07965240838334642,0.14837474356658945,0.014575421736047147,0.03204570134585022
2022-08-05,0.11434908805399346,0.07839772097288218,0.06384940777957722,0.06626675884392835,0.04993838013628512,0.009888337241247885
2022-08-08,0.10043977152451652,0.06887185803147323,0.0602117598661976,0.06774375000869155,0.04460925515665779,0.01104867445124717
2022-08-09,0.11821633374057582,0.04639468976844919,0.07170295613654491,0.025447055784140638,0.039883550720232336,-0.003322234603135872
2022-08-10,0.13414549331987846,0.04679893959429258,0.07662577330592067,-0.002532983603701629,0.03483199137241066,0.008758740092201728
2022-08-11,0.11303247003358544,0.02772115409345659,0.04811319677766082,-0.02463197783729691,0.02084901830820197,0.028954423425582732
2022-08-12,0.1316677632989243,0.04760238766412591,0.08675976595287081,-0.027242977112677206,-0.01046443449520157,0.04049849487848131
2022-08-15,0.15742940859038373,0.07104420401507729,0.09967534620857976,0.04517235299134873,0.003664814017777085,0.05495497196064698
2022-08-16,0.18259154777283026,0.06901237142660298,0.11078140032170573,0.11261630237065132,0.004985792955736567,0.05781000747059892
2022-08-17,0.18453309801760118,0.04454008654400561,0.09383274080517101,0.0910557971558831,-0.015355029160762281,0.03440439255942946
2022-08-18,0.16515293173301732,0.043305794653564385,0.113539543468458,0.048829243775110234,-0.003989407052901254,0.0297742754267469
2022-08-19,0.11347204372647267,0.00748946144230587,0.09358602807379632,-0.012596941596488154,0.02061649478952955,-0.04843670360014206
