Date,AAPL,GOOG,TSLA,KO,OXY,BAC
2022-03-24,174.07000732421875,141.31199645996094,337.97332763671875,60.97999954223633,57.75,43.06999969482422
2022-03-25,174.72000122070312,141.52149963378906,336.8800048828125,61.529998779296875,58.709999084472656,43.72999954223633
2022-03-28,175.60000610351562,141.9499969482422,363.9466552734375,61.91999816894531,56.63999938964844,43.54999923706055
2022-03-29,178.9600067138672,143.25,366.5233459472656,62.15999984741211,56.790000915527344,43.439998626708984
2022-03-30,177.77000427246094,142.64450073242188,364.663330078125,62.209999084472656,57.47999954223633,43.0
2022-03-31,174.61000061035156,139.64950561523438,359.20001220703125,62.0,56.7400016784668,41.220001220703125
2022-04-01,174.30999755859375,140.6999969482422,361.5299987792969,62.869998931884766,58.11000061035156,40.900001525878906
2022-04-04,178.44000244140625,143.6425018310547,381.8166809082031,62.540000915527344,57.790000915527344,40.83000183105469
2022-04-05,175.05999755859375,141.06300354003906,363.7533264160156,62.470001220703125,55.720001220703125,40.13999938964844
2022-04-06,171.8300018310547,137.17599487304688,348.586669921875,63.099998474121094,56.099998474121094,39.70000076293945
2022-04-07,172.13999938964844,136.46499633789062,352.4200134277344,63.439998626708984,57.68000030517578,39.38999938964844
2022-04-08,170.08999633789062,134.010498046875,341.8299865722656,63.83000183105469,61.79999923706055,39.66999816894531
2022-04-11,165.75,129.79649353027344,325.30999755859375,63.810001373291016,57.91999816894531,39.59000015258789
2022-04-12,167.66000366210938,128.37449645996094,328.98333740234375,64.55999755859375,59.13999938964844,39.16999816894531
2022-04-13,170.39999389648438,130.28599548339844,340.7900085449219,64.7300033569336,59.619998931884766,38.81999969482422
2022-04-14,165.2899932861328,127.25299835205078,328.3333435058594,65.0199966430664,59.34000015258789,37.56999969482422
2022-04-18,165.07000732421875,127.96099853515625,334.7633361816406,64.44000244140625,61.369998931884766,38.849998474121094
2022-04-19,167.39999389648438,130.531005859375,342.7166748046875,65.06999969482422,60.380001068115234,39.56999969482422
2022-04-20,167.22999572753906,128.24549865722656,325.73333740234375,65.95999908447266,61.470001220703125,39.65999984741211
2022-04-21,166.4199981689453,124.9375,336.260009765625,66.20999908447266,59.20000076293945,38.90999984741211
2022-04-22,161.7899932861328,119.61399841308594,335.01666259765625,65.25,56.619998931884766,37.560001373291016
2022-04-25,162.8800048828125,123.25,332.67333984375,65.94000244140625,54.91999816894531,37.290000915527344
2022-04-26,156.8000030517578,119.50599670410156,292.1400146484375,65.05000305175781,54.81999969482422,36.45000076293945
2022-04-27,156.57000732421875,115.02050018310547,293.836669921875,65.55999755859375,55.59000015258789,36.25
2022-04-28,163.63999938964844,119.4114990234375,292.5033264160156,66.19000244140625,57.029998779296875,36.810001373291016
2022-04-29,157.64999389648438,114.96649932861328,290.2533264160156,64.61000061035156,55.09000015258789,35.68000030517578
2022-05-02,157.9600067138672,117.15699768066406,300.9800109863281,63.439998626708984,58.29999923706055,36.13999938964844
2022-05-03,159.47999572753906,118.12950134277344,303.0833435058594,63.08000183105469,59.2400016784668,37.130001068115234
2022-05-04,166.02000427246094,122.57499694824219,317.5400085449219,65.02999877929688,61.56999969482422,38.619998931884766
2022-05-05,156.77000427246094,116.74649810791016,291.09332275390625,64.51000213623047,62.290000915527344,37.540000915527344
2022-05-06,157.27999877929688,115.66000366210938,288.54998779296875,64.73999786376953,64.94000244140625,37.45000076293945
2022-05-09,152.05999755859375,113.08399963378906,262.3699951171875,64.61000061035156,57.84000015258789,36.369998931884766
2022-05-10,154.50999450683594,114.58450317382812,266.67999267578125,64.01000213623047,59.40999984741211,35.7599983215332
2022-05-11,146.5,113.96099853515625,244.6666717529297,64.30999755859375,60.099998474121094,35.56999969482422
2022-05-12,142.55999755859375,113.16100311279297,242.6666717529297,64.51000213623047,59.220001220703125,35.06999969482422
2022-05-13,147.11000061035156,116.5155029296875,256.5299987792969,65.72000122070312,64.08000183105469,35.16999816894531
2022-05-16,145.5399932861328,114.7925033569336,241.4566650390625,65.95999908447266,67.72000122070312,34.810001373291016
2022-05-17,149.24000549316406,116.70149993896484,253.8699951171875,65.77999877929688,67.94000244140625,35.9900016784668
2022-05-18,140.82000732421875,112.4010009765625,236.60333251953125,61.20000076293945,64.30000305175781,34.880001068115234
2022-05-19,137.35000610351562,110.74549865722656,236.47332763671875,60.0,63.959999084472656,34.45000076293945
2022-05-20,137.58999633789062,109.31300354003906,221.3000030517578,60.97999954223633,63.2599983215332,33.86000061035156
2022-05-23,143.11000061035156,111.66649627685547,224.96665954589844,62.86000061035156,65.41999816894531,35.869998931884766
2022-05-24,140.36000061035156,105.9260025024414,209.3866729736328,64.0199966430664,65.06999969482422,35.650001525878906
2022-05-25,140.52000427246094,105.8395004272461,219.60000610351562,64.06999969482422,66.38999938964844,35.84000015258789
2022-05-26,143.77999877929688,108.2959976196289,235.91000366210938,64.30000305175781,68.66000366210938,36.66999816894531
2022-05-27,149.63999938964844,112.79900360107422,253.2100067138672,64.68000030517578,70.86000061035156,37.02000045776367
2022-05-31,148.83999633789062,114.03900146484375,252.75332641601562,63.380001068115234,69.30999755859375,37.20000076293945
2022-06-01,148.7100067138672,114.13700103759766,246.7899932861328,63.06999969482422,70.41999816894531,36.66999816894531
2022-06-02,151.2100067138672,117.74600219726562,258.3333435058594,63.72999954223633,69.30000305175781,36.70000076293945
2022-06-03,145.3800048828125,114.56400299072266,234.51666259765625,62.970001220703125,70.29000091552734,36.189998626708984
2022-06-06,146.13999938964844,117.010498046875,238.27999877929688,62.869998931884766,69.61000061035156,36.150001525878906
