Date,AAPL,GOOG,TSLA
2022-03-25,0.0037271403022636207,0.0014814596929886292,-0.0032401817039868774
2022-03-28,0.005024016415912769,0.0030232150038767003,0.07728050710253687
2022-03-29,0.01895363873881717,0.00911649417469107,0.00705491356722554
2022-03-30,-0.006671750729656978,-0.004235829450106365,-0.005087674440050982
2022-03-31,-0.017935684938688468,-0.021219773930003072,-0.015095174165618452
2022-04-01,-0.0017196098088927414,0.007494190215782126,0.006465651918934334
2022-04-04,0.023417114721351773,0.020697644145873717,0.0545955781797387
2022-04-05,-0.01912366558382761,-0.01812096238134142,-0.04846463728047112
2022-04-06,-0.01862313174332808,-0.027941888693505668,-0.04258906976846255
2022-04-07,0.0018024690608058336,-0.005196590847195814,0.01093679078037102
2022-04-08,-0.011980408480080307,-0.018150004138747455,-0.030510186068030798
2022-04-11,-0.025847058129606637,-0.031950351015184175,-0.04953493181751334
2022-04-12,0.011457511986214364,-0.011016043674495712,0.01122853693277559
2022-04-13,0.016210437524274646,0.014780253506321728,0.035259373586186804
2022-04-14,-0.030447112265913567,-0.023554781491188947,-0.03723709338922099
2022-04-18,-0.0013317955807181647,0.005548300704312226,0.01939443951963149
2022-04-19,0.014016450864878571,0.01988527278882568,0.023480261839117667
2022-04-20,-0.0010160367500882117,-0.017664406088539586,-0.050825021637719736
2022-04-21,-0.004855382374947759,-0.026132772985037356,0.031805636085348254
2022-04-22,-0.028215545949844767,-0.04354373400547917,-0.003704429607069848
2022-04-25,0.006714606820305669,0.02994493466765924,-0.00701922259288601
2022-04-26,-0.038042635961083704,-0.030848261186008585,-0.1299278575282088
2022-04-27,-0.0014678862764219147,-0.038256176798618036,0.0057908789187459675
2022-04-28,0.04416564822872804,0.037465128112091683,-0.004548029513557594
2022-04-29,-0.037291542055894134,-0.03793472731203984,-0.007721957937068424
2022-05-02,0.0019645316465775053,0.018874120087772894,0.03628977282780177
2022-05-03,0.009576616801167503,0.008266595867360671,0.006963974902023828
2022-05-04,0.040189793038299726,0.03694157094687345,0.046595992796664376
2022-05-05,-0.05732849842801446,-0.04871816133413809,-0.08695990905101425
2022-05-06,0.003247858304027851,-0.009350016913308501,-0.008775573655860569
2022-05-09,-0.033752484892773715,-0.022523982244284646,-0.09511263619709442
2022-05-10,0.015983619865422405,0.013181667629099891,0.016293707630266496
2022-05-11,-0.05323335515304528,-0.005456298031521811,-0.0861526495504652
2022-05-12,-0.027262481860088172,-0.007044660799218505,-0.008207980246495161
2022-05-13,0.031417663814033325,0.029212725563387387,0.055556831589002265
2022-05-16,-0.010729693622863579,-0.014898156525905648,-0.06055559591829773
2022-05-17,0.025104868372338274,0.016493212172998817,0.050132289582274225
2022-05-18,-0.05807325405834529,-0.03754654925197176,-0.07043726926027905
2022-05-19,-0.024950074123233357,-0.014838078984661607,-0.0005496144580128259
2022-05-20,0.0017457648446601581,-0.013019404725608474,-0.0663161611759957
2022-05-23,0.03933534776407299,0.02130135808178757,0.016432950581560135
2022-05-24,-0.019403014524209894,-0.0527759565424315,-0.07176955888757153
2022-05-25,0.001139302738785375,-0.0008169610140438266,0.047625084888030855
2022-05-26,0.022934487263377434,0.022944397182842913,0.07164265445291118
2022-05-27,0.03994806033549647,0.0407393087978809,0.07076881859385153
2022-05-31,-0.0053605265270606495,0.010933002296968475,-0.0018051917677217588
2022-06-01,-0.0008737330261121556,0.0008589823443729827,-0.023876273341224774
2022-06-02,0.016671497677550384,0.031130290362103352,0.04571303469577792
2022-06-03,-0.039318605882486146,-0.02739613579542599,-0.0967241388472253
2022-06-06,0.005214024543549023,0.02113001275975357,0.015919806421978322
2022-06-07,0.01743308366138674,0.001869892723944666,0.002542820180630123
2022-06-08,-0.0050561335074892355,7.24974297572345e-05,0.01239735072635817
2022-06-09,-0.036618043064564176,-0.019987223647460084,-0.0089706717374467
2022-06-10,-0.039394552656978554,-0.030844688149151978,-0.03168770531986009
2022-06-13,-0.03903696139074864,-0.04170014579686754,-0.07366972655880133
2022-06-14,0.0066504902469306515,0.0029662889694899164,0.023606322357198728
2022-06-15,0.01991190211094196,0.029383826756469666,0.053373616280111946
2022-06-16,-0.040458983916443536,-0.03460292528387665,-0.08927688581957316
2022-06-17,0.011467139093874756,0.011463912978956436,0.01702915760963819
2022-06-21,0.03223550753534976,0.03774769179988624,0.08942411634475622
2022-06-22,-0.0038344491442217077,0.00016958069681116683,-0.004015858661335692
2022-06-23,0.021344265145308405,0.005789526790571209,-0.00431560975215195
2022-06-24,0.024221519876943987,0.05064170832964443,0.04425503260828734
2022-06-27,0.0,-0.01629139949082159,-0.0032067867617016077
2022-06-28,-0.030242370177498756,-0.03535360259976361,-0.0513391457806156
2022-06-29,0.012939735235462102,-0.0028021655970036363,-0.01810000361139341
2022-06-30,-0.0181921634990152,-0.02602696862773879,-0.017735577471773567
2022-07-01,0.016035108706173418,-0.002668727682628713,0.012352524133575571
2022-07-05,0.018753481788822413,0.04311600057453635,0.02521511490516115
2022-07-06,0.009561382112642569,0.011580199528322233,-0.005737228466480282
2022-07-07,0.023716034499354777,0.03490468179891604,0.0538052294718776
2022-07-08,0.004703558104416139,0.007203328721688607,0.025117078284842442
2022-07-11,-0.014867858098461362,-0.030810568344494804,-0.06772231414560181
2022-07-12,0.0068105068918162814,-0.014461781606723179,-0.005448427397798383
2022-07-13,-0.0025398682569930386,-0.0234555076480234,0.016890005886122772
2022-07-14,0.020275532370192195,-0.006680738913988016,0.0053574842368897535
2022-07-15,0.011385047645188884,0.01183737653607242,0.007330299130863693
