Date,^GSPC,^TNX
2022-03-24,4520.16015625,2.3410000801086426
2022-03-25,4543.06005859375,2.492000102996826
2022-03-28,4575.52001953125,2.4769999980926514
2022-03-29,4631.60009765625,2.4000000953674316
2022-03-30,4602.4501953125,2.3580000400543213
2022-03-31,4530.41015625,2.3269999027252197
2022-04-01,4545.85986328125,2.377000093460083
2022-04-04,4582.64013671875,2.4119999408721924
2022-04-05,4525.1201171875,2.555999994277954
2022-04-06,4481.14990234375,2.6089999675750732
2022-04-07,4500.2099609375,2.6519999504089355
2022-04-08,4488.27978515625,2.7130000591278076
2022-04-11,4412.52978515625,2.7799999713897705
2022-04-12,4397.4501953125,2.7249999046325684
2022-04-13,4446.58984375,2.687000036239624
2022-04-14,4392.58984375,2.828000068664551
2022-04-18,4391.68994140625,2.861999988555908
2022-04-19,4462.2099609375,2.9130001068115234
2022-04-20,4459.4501953125,2.8399999141693115
2022-04-21,4393.66015625,2.9170000553131104
2022-04-22,4271.77978515625,2.9059998989105225
2022-04-25,4296.1201171875,2.8259999752044678
2022-04-26,4175.2001953125,2.7720000743865967
2022-04-27,4183.9599609375,2.818000078201294
2022-04-28,4287.5,2.86299991607666
2022-04-29,4131.93017578125,2.88700008392334
2022-05-02,4155.3798828125,2.996000051498413
2022-05-03,4175.47998046875,2.9600000381469727
2022-05-04,4300.169921875,2.9170000553131104
2022-05-05,4146.8701171875,3.065999984741211
2022-05-06,4123.33984375,3.122999906539917
2022-05-09,3991.239990234375,3.0789999961853027
2022-05-10,4001.050048828125,2.993000030517578
2022-05-11,3935.179931640625,2.9210000038146973
2022-05-12,3930.080078125,2.816999912261963
2022-05-13,4023.889892578125,2.934999942779541
2022-05-16,4008.010009765625,2.877000093460083
2022-05-17,4088.85009765625,2.9679999351501465
2022-05-18,3923.679931640625,2.885999917984009
2022-05-19,3900.7900390625,2.8550000190734863
2022-05-20,3901.360107421875,2.7869999408721924
2022-05-23,3973.75,2.8589999675750732
2022-05-24,3941.47998046875,2.759999990463257
2022-05-25,3978.72998046875,2.749000072479248
2022-05-26,4057.840087890625,2.75600004196167
2022-05-27,4158.240234375,2.743000030517578
2022-05-31,4132.14990234375,2.8440001010894775
2022-06-01,4101.22998046875,2.930999994277954
2022-06-02,4176.81982421875,2.9130001068115234
2022-06-03,4108.5400390625,2.9570000171661377
2022-06-06,4121.43017578125,3.0380001068115234
2022-06-07,4160.68017578125,2.9719998836517334
2022-06-08,4115.77001953125,3.0290000438690186
2022-06-09,4017.820068359375,3.0439999103546143
2022-06-10,3900.860107421875,3.1559998989105225
2022-06-13,3749.6298828125,3.365999937057495
2022-06-14,3735.47998046875,3.4830000400543213
2022-06-15,3789.989990234375,3.3949999809265137
2022-06-16,3666.77001953125,3.306999921798706
2022-06-17,3674.840087890625,3.239000082015991
2022-06-21,3764.7900390625,3.306999921798706
2022-06-22,3759.889892578125,3.1559998989105225
2022-06-23,3795.72998046875,3.068000078201294
2022-06-24,3911.739990234375,3.125
2022-06-27,3900.110107421875,3.194000005722046
2022-06-28,3821.550048828125,3.2060000896453857
2022-06-29,3818.830078125,3.0929999351501465
2022-06-30,3785.3798828125,2.9719998836517334
2022-07-01,3825.330078125,2.8889999389648438
2022-07-05,3831.389892578125,2.809000015258789
2022-07-06,3845.080078125,2.9130001068115234
2022-07-07,3902.6201171875,3.007999897003174
2022-07-08,3899.3798828125,3.1010000705718994
2022-07-11,3854.429931640625,2.990999937057495
2022-07-12,3818.800048828125,2.9579999446868896
2022-07-13,3801.780029296875,2.9040000438690186
2022-07-14,3790.3798828125,2.9600000381469727
2022-07-15,3863.159912109375,2.930000066757202
2022-07-18,3830.85009765625,2.9600000381469727
2022-07-19,3936.68994140625,3.0190000534057617
2022-07-20,3959.89990234375,3.0360000133514404
2022-07-21,3998.949951171875,2.9100000858306885
2022-07-22,3961.6298828125,2.7829999923706055
2022-07-25,3966.840087890625,2.819999933242798
2022-07-26,3921.050048828125,2.7869999408721924
2022-07-27,4023.610107421875,2.7339999675750732
2022-07-28,4072.429931640625,2.680999994277954
2022-07-29,4130.2900390625,2.6419999599456787
2022-08-01,4118.6298828125,2.6059999465942383
2022-08-02,4091.18994140625,2.740999937057495
2022-08-03,4155.169921875,2.747999906539917
2022-08-04,4151.93994140625,2.6760001182556152
2022-08-05,4145.18994140625,2.8399999141693115
2022-08-08,4140.06005859375,2.765000104904175
2022-08-09,4122.47021484375,2.796999931335449
2022-08-10,4210.240234375,2.7860000133514404
2022-08-11,4207.27001953125,2.888000011444092
2022-08-12,4280.14990234375,2.8489999771118164
2022-08-15,4297.14013671875,2.7909998893737793
2022-08-16,4305.2001953125,2.8239998817443848
2022-08-17,4274.0400390625,2.8929998874664307
2022-08-18,4283.740234375,2.880000114440918
2022-08-19,4228.47998046875,2.989000082015991
2022-08-22,4137.990234375,3.0369999408721924
2022-08-23,4128.72998046875,3.053999900817871
2022-08-24,4140.77001953125,3.1059999465942383
2022-08-25,4199.1201171875,3.0260000228881836
2022-08-26,4057.659912109375,3.0350000858306885
2022-08-29,4030.610107421875,3.109999895095825
2022-08-30,3986.159912109375,3.109999895095825
2022-08-31,3955.0,3.132999897003174
2022-09-01,3966.85009765625,3.265000104904175
2022-09-02,3924.260009765625,3.193000078201294
2022-09-06,3908.18994140625,3.3399999141693115
2022-09-07,3979.8701171875,3.265000104904175
2022-09-08,4006.179931640625,3.2920000553131104
2022-09-09,4067.360107421875,3.321000099182129
2022-09-12,4110.41015625,3.361999988555908
2022-09-13,3932.68994140625,3.421999931335449
